a,b,h,l,S11
12.6,13.4,4,24,-36.5073453
12.6,13.4,4,24.5,-31.40951993
12.6,13.4,4,25,-27.69175288
12.6,13.4,4,25.5,-29.82791644
12.6,13.4,4,26,-30.25679423
12.8,13.4,4,23,-26.07373255
12.8,13.4,4,23.5,-38.98946894
12.8,13.4,4,24,-38.6132666
12.8,13.4,4,24.5,-31.12838129
12.8,13.4,4,25,-30.93889115
12.8,13.4,4,25.5,-33.38155208
12.8,13.4,4,26,-28.08389127
13,13.4,4,23,-24.89268848
13,13.4,4,23.5,-24.81315946
13,13.4,4,24,-30.5144828
13,13.4,4,24.5,-32.14280763
13,13.4,4,25,-32.26895087
13,13.4,4,25.5,-31.52599372
13,13.4,4,26,-50.3859054
13.2,13.4,4,23,-18.97631851
13.2,13.4,4,23.5,-22.97947301
13.2,13.4,4,24,-37.78338346
13.2,13.4,4,24.5,-28.91854756
13.2,13.4,4,25,-27.12653696
13.2,13.4,4,25.5,-29.73972022
13.2,13.4,4,26,-31.94492096
13.4,13.4,4,23,-19.95164757
13.4,13.4,4,23.5,-23.35836128
13.4,13.4,4,24,-30.25728346
13.4,13.4,4,24.5,-29.29287231
13.4,13.4,4,25,-30.57871047
13.4,13.4,4,25.5,-29.03635482
13.4,13.4,4,26,-25.79150328
13.6,13.4,4,23,-18.40513337
13.6,13.4,4,23.5,-23.67348503
13.6,13.4,4,24,-22.43838873
13.6,13.4,4,24.5,-28.38081576
13.6,13.4,4,25,-30.13582106
13.6,13.4,4,25.5,-28.64932242
13.6,13.4,4,26,-32.17101815
13.8,13.4,4,23,-19.38348655
13.8,13.4,4,23.5,-24.43057109
13.8,13.4,4,24,-31.56586646
13.8,13.4,4,24.5,-28.51291601
13.8,13.4,4,25,-29.6847753
13.8,13.4,4,25.5,-30.20331936
13.8,13.4,4,26,-30.90977704
14,13.4,4,23,-18.55547814
14,13.4,4,23.5,-23.44945551
14,13.4,4,24,-41.53829053
14,13.4,4,24.5,-26.7500778
14,13.4,4,25,-32.06227159
14,13.4,4,25.5,-31.27739507
14,13.4,4,26,-29.36629672
12,13.6,4,23,-26.79976808
12,13.6,4,23.5,-43.11115803
12,13.6,4,24,-39.21193412
12,13.6,4,24.5,-32.2571787
12,13.6,4,25,-30.93174076
12,13.6,4,25.5,-32.33360372
12,13.6,4,26,-33.52697514
12.2,13.6,4,23,-33.16908861
12.2,13.6,4,23.5,-31.13648032
12.2,13.6,4,24,-33.44480435
12.2,13.6,4,24.5,-29.45133017
12.2,13.6,4,25,-40.23276287
12.2,13.6,4,25.5,-27.50783614
12.2,13.6,4,26,-28.14527827
12.4,13.6,4,23,-26.36424838
12.4,13.6,4,23.5,-39.58441072
12.4,13.6,4,24,-57.83057094
12.4,13.6,4,24.5,-29.70403041
12.4,13.6,4,25,-29.67994696
12.4,13.6,4,25.5,-30.26166613
12.4,13.6,4,26,-28.14157399
12.6,13.6,4,23,-24.29200127
12.6,13.6,4,23.5,-27.2460097
12.6,13.6,4,24,-27.78345646
12.6,13.6,4,24.5,-30.21220974
12.6,13.6,4,25,-30.56560421
12.6,13.6,4,25.5,-30.22991124
12.6,13.6,4,26,-32.03904807
12.8,13.6,4,23,-22.72298724
12.8,13.6,4,23.5,-26.44181008
12.8,13.6,4,24,-49.24599789
12.8,13.6,4,24.5,-28.46788506
12.8,13.6,4,25,-39.8253701
12.8,13.6,4,25.5,-29.36476294
12.8,13.6,4,26,-28.80212846
13,13.6,4,23,-29.53491579
13,13.6,4,23.5,-25.86601651
13,13.6,4,24,-28.72866873
13,13.6,4,24.5,-33.39005528
13,13.6,4,25,-29.13992515
13,13.6,4,25.5,-26.71104467
13,13.6,4,26,-28.16535597
13.2,13.6,4,23,-21.07603116
13.2,13.6,4,23.5,-23.43972726
13.2,13.6,4,24,-38.33164953
13.2,13.6,4,24.5,-29.24113034
13.2,13.6,4,25,-28.50046875
13.2,13.6,4,25.5,-27.77848935
13.2,13.6,4,26,-27.65317773
13.4,13.6,4,23,-18.48164295
13.4,13.6,4,23.5,-25.53382982
13.4,13.6,4,24,-52.6469952
13.4,13.6,4,24.5,-28.37431714
13.4,13.6,4,25,-27.47933616
13.4,13.6,4,25.5,-27.46704056
13.4,13.6,4,26,-29.30696434
13.6,13.6,4,23,-20.576493
13.6,13.6,4,23.5,-25.98648627
13.6,13.6,4,24,-36.4507905
13.6,13.6,4,24.5,-28.21912989
13.6,13.6,4,25,-30.72908809
13.6,13.6,4,25.5,-30.88092455
13.6,13.6,4,26,-34.94515985
13.8,13.6,4,23,-17.78203333
13.8,13.6,4,23.5,-23.71903262
13.8,13.6,4,24,-43.5943351
13.8,13.6,4,24.5,-27.25679023
13.8,13.6,4,25,-28.25470032
13.8,13.6,4,25.5,-30.06134186
13.8,13.6,4,26,-28.52829226
14,13.6,4,23,-17.89527775
14,13.6,4,23.5,-21.5466202
14,13.6,4,24,-49.91139053
14,13.6,4,24.5,-30.83061474
14,13.6,4,25,-27.64952881
